ID,gender,name
8189269,male,Phylas (son of Antiochos)
8189268,male,Phylas (king of Ephyra)
9364246,undefined,Athamatia (region in Epeiros settled by Athamas) 540676
9055592,undefined,Mount Casios() 648611
9055222,undefined,River Triton() 590083
9055591,undefined,the Corycian Cave (in Cilicia) 648611
8188480,male,Hermes Mercury (Olympian god)
8188481,female,Hermione (daughter of Menelaos and Helen)
8188482,male,Hermos (son of Aigyptos)
8188483,female,Herse (daughter of Cerops)
8188484,female,Herse (mother of some Danaids)
8188485,female,Hesione (daughter of Laomedon)
8188486,female,Hesione (wife of Nauplios)
8188487,female,Hesperethousa (one of the Hesperides)
8188488,female,the Hesperides (nymph guardians of the Golden Apples)
8188489,female,Hesycheia (daughter of Thespios)
8182158,male,Amphios (son of Merops)
8182159,female,Amphithea (daughter of Pronax)
8360085,male,"Argeiphontes ('Killer of Argos', epithet of Hermes)"
8182150,male,Amphimachos (Greek leader at Troy)
8182151,male,Amphimachos (son of Electryon)
8182152,male,Amphimachos (Trojan ally)
8182153,male,"Amphimachos (suitor of Penelope, from Doulichion)"
8182154,male,"Amphimachos (suitor of Penelope, from Ithaca)"
8182155,male,Amphimedon (suitor of Penelope)
8182156,male,Amphinomos (suitor of Penelope)
8182157,male,"Amphion (son of Zeus and Antiope, husband of Niobe)"
9358789,undefined,the Xoanon of Tauropolos()
8189843,male,the Molionidai (conjoined sons of Molione)
8189842,female,Molione (mother of the Molionidai)
8189841,male,Molebos (suitor of Penelope)
8189840,female,the Moirai the Parcae (the Fates)
8189847,male,Molossos (son of Neoptolemos)
8189846,male,Molos (son of Deucalion)
8189845,male,Molos (son of Ares)
8189844,male,Molorchos (Heracles' host in Cleonai)
8189849,male,Mygdalion (father of an unknown son)
8189848,male,Mopsos (son of Apollo)
8188824,male,Typhon (son of Ge)
8188822,male,Theseus (Athenian hero)
8188823,male,Sceiron (Opponent of Theseus)
8188820,undefined,Lemnos() 550693
8188821,undefined,Acropolis of Athens() 638356144
8358939,female,"Cleopatra (Danaid, daughter of Polyxo)"
8189991,male,Scyrios (father of Aigeus)
8189990,female,Scylla (daughter of Nisos)
8189993,female,Selene (personification of the moon)
8189992,male,Seilenos Silenus (attendant of Dionysos)
8189995,female,Side (wife of Orion)
8189994,female,Semele (mother of Dionysos by Zeus)
8189997,male,Simoeis (river god at Troy)
8189996,female,"Sidero (wife of Salmoneus, stepmother of Tyro)"
8189999,male,Sinon (Greek warrior at Troy)
8189998,male,Sinis (son of Polypemon)
8254035,undefined,Cenaion (in Euboia) 540858
8190140,female,Tiphyse (daughter of Thespios)
8190141,male,Tisamenos (son of Orestes)
8190142,female,Tisiphone (daughter of Alcmaion)
8190143,male,Titanas (son of Lycaon)
8190144,undefined,the Titans()
8190145,male,"Tithonos (son of Laomedon, abducted by Eos)"
8190146,male,Tityos (son of Zeus)
8190147,male,Tlepolemos (son of Heracles)
8190148,male,"Tmolos (king of Lydia, husband of Omphale)"
8190149,male,Toxeus (son of Oineus)
8254034,undefined,Itonos() 540677
8254149,undefined, the Chariot of Pelops()
8254148,undefined, the Anaktoron at Phlius (at Phlius)
8254145,male, Dysaules (Brother of Keleos)
8254144,undefined,"Keleai Celeae (City in Peloponnesos, near Phlius) 573280"
8254147,male,Aras (Autochthone)
8254146,male, Diokles Diocles (Priest of Demeter)
8254141,undefined, the Omphalos of Phlius()
8254140,undefined, the House of Divination()
8254143,undefined, the Sanctuary of Apollo()
8254142,male, Kyathos Cyathus (Cup-Bearer of Oeneus)
8189669,female,Leda (mother of Helen)
8189668,male,Learchos (son of Athamas)
8189663,female,Lapithos (dather of Diomede)
8189662,female,Laothoe (daughter of Thespios)
8189661,female,Laophonte (daughter of Pleuron)
8189660,female,Laonome (daughter of Gouneus)
8189667,female,Leaneira (daughter of Amyclas)
8189666,male,Leades (son of Astacos)
8189665,male,Latinos (son of Telemachus)
8189664,male,Latinos (son of Odysseus)
8188039,female,Cleodoxa (daughter of Niobe)
8188038,female,Cleodora (Danaid)
8188031,female,Cleio (Muse)
8188030,male,Claametidos (son of Heracles)
8188033,female,Cleite (Danaid)
8188032,female,Cleisithyra (daughter of Idomeneus)
8188035,female,Cleoboia (mother of Eurythemis)
8188034,male,Cleitos Clytus (son of Aigyptos)
8188037,male,Cleochos (father of Areia)
8188036,female,Cleochareia (nymph)
8187898,female,Benthesicyme (daughter of Poseidon)
8187899,female,Bia (personification of violence)
8187892,male,Barthas (suitor of Penelope)
8187893,female,Bateia (nymph)
8187890,female,the Bacchai (female worshippers of Dionysos)
8187891,male,Balios (immortal horse)
8187896,male,Bellerophontes (killed the Chimaira)
8187897,male,Belos (son of Poseidon and Libya)
8187894,female,Bateia (daughter of Teucros)
8187895,male,Baton (charioteer of Amphiaraos)
